Organization,Type,Years,Allocation
Cal in Local Government,SISG,4,"$1,719.96 "
Cal Queer & Asian,SISG,4,$757.91 
California Public Interest Research Group,SISG,8,$488.00 
Cal Veteran's Group,SISG,4,"$1,024.00 "
CHE(Chicanos/Latinos in Health Education),SISG,23,"$2,193.83 "
Colleges Against Cancer: Relay for Life,SISG,3,$164.00 
Delta Sigma Theta Sorority Incorporated Kappa Chapter,SISG,12,$400.00 
Democratic Education at Cal (DeCal),SISG,30,"$5,148.78 "
Drawn to Scale,SISG,2,$105.00 
Engineers without Borders,SISG,2,Sponsorship Only
Expanding Your Horizons at Berkeley,SISG,1,$100.00 
Facilitation Team at Cal,SISG,1,$100.00 
FeelGood,SISG,5,$644.99 
Gamma Zeta Alpha,SISG,5,"$1,074.98 "
Gates Millennium Scholars Association,SISG,6,"$1,317.00 "
GIANT - UC Berkeley Filmmakers,SISG,8,"$1,432.41 "
Global Medical Brigades at Berkeley,SISG,3,$344.54 
Health and Medical Apprenticeship Program (HMAP),SISG,28,"$12,899.71 "
Hermanas Unidas,SISG,7,$600.00 
Hermanos Unidos,SISG,7,Sponsorship Only
Hispanic Engineers and Scientists,SISG,5,Sponsorship Only
Hmong Student Association at Berkeley,SISG,5,"$1,066.38 "
Hispanic Scholarship Fund,SISG,5,$200.00 
Inside the Living Room,SISG,3,$287.82 
Iu-Mien Student Union,SISG,6,$496.14 
Labor Coach Program,SISG,2,$65.00 
"Lambda Theta Alpha Latin Sorority, Inc.",SISG,6,$895.44 
Lambda Theta Phi Latin Fraternity,SISG,6,"$1,000.00 "
Laotian American Student Representative,SISG,14,$504.00 
Let's Rise Asian Mentorship,SISG,10,"$1,575.00 "
Movimiento Estudiantil Chicano/Xicana de Atzlan (MEChxA) de UC Berkeley,SISG,2,$474.09 
National Council of Negro Women,SISG,6,"$1,400.00 "
Native American Recruitment and Retention Center,SISG,20,"$10,873.30 "
Oakland Asian Students Educational Services (OASES),SISG,10,$803.13 
Open Computing Facility,SISG,23,"$21,266.70 "
Pacific Islanders at Cal,SISG,5,$997.50 
Paws and Claws of Berkeley,SISG,1,$40.00 
People's Test Preparation Service,SISG,16,"$3,332.42 "
Phi Delta Epsilon,SISG,5,$210.00 
Pilipino Academic Student Services,SISG,28,"$23,326.97 "
Project RISHI,SISG,5,$620.18 
Project Spreading Multiculturalism and Inspiring Leadership through Education (Project SMILE),SISG,4,"$2,310.00 "
Project Vision,SISG,6,$420.00 
Prytanean Women's Honor Society,SISG,1,$100.00 
PUENTE,SISG,1,$100.00 
Queer Alliance and Resource Center,SISG,45,"$12,983.55 "
RAZA Caucus,SISG,1,$50.00 
Raza Recruitment & Retention Center,SISG,35,"$42,864.51 "
REACH! Asian Pacific Islander Recruitment & Retention Center,SISG,17,"$15,646.27 "
Re-Entry Transfer Student Association,SISG,15,"$1,120.48 "
RISE,SISG,5,$157.50 
Rotaract Club,SISG,8,"$1,200.00 "
Seed of Health,SISG,1,$100.00 
Service Network at Berkeley,SISG,1,$100.00 
"Sigma Pi Alpha Sorority, Inc.",SISG,4,$700.00 
Southeast Asian Mentorship (SEAM),SISG,6,$618.11 
Southeast Asian Prison Outreach Project,SISG,2,$25.00 
Southeast Asian Student Coalition,SISG,12,"$2,835.00 "
Spread The Word,SISG,1,$100.00 
Spring Foundation,SISG,1,$100.00 
STOP the Traffick,SISG,6,$456.88 
Student Parent Association for Recruitment and Retension (SPARR),SISG,14,"$1,902.81 "
Student-to-Student Peer Counseling,SISG,22,"$3,700.00 "
Supporting Peers in Laid-Back Listening (SPILL),SISG,3,$50.00 
Take Back the Night,SAG,10,$300.00 
Teach In Prison,SISG,4,$500.00 
Team HBV,SISG,6,$739.69 
The Berkeley Project,SISG,6,"$1,575.00 "
The Magnolia Project,SISG,6,$886.85 
The Suitcase Clinic,SISG,14,"$2,348.82 "
Theater for Charity,SISG,8,$709.20 
TRENZA,SISG,14,"$1,601.00 "
Universal Love and Peace,SISG,2,$300.00 
Union Salvdorena de Estudiantes Universitarios,SISG,1,$50.00 
V-Day at Berkeley,SISG,6,"$1,214.84 "
Vietnamese Student Association,SISG,21,"$2,315.71 "
Volunteer Health Interpreters Organization (VHIO),SISG,7,$800.00 
Volunteers for Medical Outreach,SISG,5,$688.80 
Wonderworks,SISG,2,$105.00 
World Literacy Project,SISG,1,$100.00 
Xinaxtli,SISG,41,"$2,757.31 "
Youth Empowerment Program,SISG,1,$100.00 
Youth Support Program,SISG,17,"$1,207.81 "
D.U.L.C.E.: Diabetes Unidos Lograremos Controlar esta Enfermedad,SISG,5,$475.00 
Disabled Students Union,SISG,8,"$1,700.00 "
President,GOVT,,"$10,000.00 "
Executive Vice President,GOVT,,"$10,000.00 "
External Affairs Vice President,GOVT,,"$18,000.00 "
Academic Affairs Vice President,GOVT,,"$10,000.00 "
Student Advocate,GOVT,,"$10,500.00 "
Senate Only,GOVT,,"$7,000.00 "
Secretariat,GOVT,,"$64,000.00 "
Judicial Council,GOVT,,$543.00 
Finance Officer,GOVT,,"$1,500.00 "
Systems Administrator,GOVT,,"$16,000.00 "
Webmaster,GOVT,,"$1,000.00 "
Attorney General,GOVT,,"$1,000.00 "
Advocacy Agenda,GOVT,,$800.00 
Elections Council,GOVT,,"$30,000.00 "
Allocation to the Graduate Assembly,GRAD,,"$416,200.00 "
ASUC Archives,OPS,,"$4,000.00 "
ASUC Information Desk,OPS,,"$5,000.00 "
Attorney's Fees,OPS,,"$60,000.00 "
Audit,OPS,,"$15,000.00 "
Cal Lodge,OPS,,"$20,000.00 "
CNS Internet Operations Fee,OPS,,"$13,257.00 "
Eshelman Library,OPS,,$0.00 
Publication Center,OPS,,"$4,500.00 "
Student Sustainability,OPS,,"$1,500.00 "
UC Student Association,OPS,,"$32,026.80 "
Academic Opportunity Fund,PRO,,"$10,000.00 "
ASUC Fund for Intellectual Community,PRO,,"$5,000.00 "
ASUC Green Certification Program,PRO,,"$1,000.00 "
ASUC Lobby Corps,PRO,,"$5,500.00 "
Cal Day Concert,PRO,,"$10,000.00 "
CAL Housing Commission,PRO,,"$2,500.00 "
Commission of Diversity Affairs,PRO,,$400.00 
Dance Marathon,PRO,,"$5,000.00 "
Disability Accomodation Fund,PRO,,"$8,000.00 "
Educational Enhancement Fund,PRO,,"$3,000.00 "
Executive Officer Leadership Institute,PRO,,"$6,000.00 "
Greek Opportunity Fund,PRO,,"$8,000.00 "
Health and Wellness Initiative,PRO,,"$14,000.00 "
Innovative Design,PRO,,"$4,000.00 "
Multicultural Fund,PRO,,"$5,000.00 "
Outstanding Student Recognition Program,PRO,,"$1,250.00 "
Perspectives,PRO,,"$1,900.00 "
Public Service Fund,PRO,,"$5,000.00 "
Spring Welcome Week,PRO,,"$2,726.77 "
Student Initiative Fund/Bears Breaking Boundaries,PRO,,"$15,000.00 "
SUPERB,PRO,,"$125,000.00 "
Undergraduate Graduate Mentorship Program,PRO,,"$1,705.00 "
Voter Registration,PRO,,"$1,030.00 "
Senate Contingency,FUND,,"$24,000.00 "
Legal Defense Fund,FUND,,"$16,000.00 "
